,mesa,CONSENSO FEDERAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE TODOS,FRENTE NOS,JUNTOS POR EL CAMBIO,localidad,pmale,pfemale,18-25,25-35,35-45,45-55,55-65,65-75,>75,18-25_m,25-35_m,35-45_m,45-55_m,55-65_m,65-75_m,>75_m,18-25_f,25-35_f,35-45_f,45-55_f,55-65_f,65-75_f,>75_f
221,222,-0.030177421058189883,-0.0001254092301193402,-0.06852624353152387,-0.007735769352624353,0.13529015735558136,PILAR,50.57142857142857,49.42857142857143,22.608695652173914,23.768115942028984,22.02898550724637,15.942028985507244,8.985507246376812,4.63768115942029,2.0289855072463765,19.186046511627904,25.0,21.51162790697675,16.27906976744186,9.30232558139535,6.395348837209302,2.3255813953488373,26.011560693641616,22.543352601156073,22.543352601156073,15.606936416184974,8.670520231213873,2.8901734104046244,1.7341040462427744
222,223,-0.03154208176640057,-0.010715620945217833,-0.046716588594928665,-0.0168623958127158,0.12025246860636452,PILAR,51.42857142857142,48.57142857142857,22.965116279069772,24.41860465116279,21.22093023255814,13.953488372093025,7.558139534883719,6.9767441860465125,2.9069767441860463,21.428571428571427,25.595238095238088,22.619047619047624,16.071428571428573,4.761904761904762,7.142857142857142,2.380952380952381,24.431818181818183,23.295454545454547,19.88636363636364,11.931818181818182,10.227272727272727,6.8181818181818175,3.4090909090909087
223,224,0.025889675389178704,-0.006171981911265174,-0.09641420702015191,0.021075737893954442,0.08637648742332776,PILAR,47.14285714285714,52.85714285714286,23.631123919308358,22.190201729106633,20.749279538904897,16.42651296829971,7.780979827089339,4.899135446685879,4.322766570605188,21.73913043478261,19.565217391304348,22.82608695652174,17.391304347826086,9.239130434782608,4.3478260869565215,4.891304347826087,25.766871165644172,25.153374233128833,18.404907975460123,15.337423312883436,6.1349693251533735,5.521472392638037,3.6809815950920246
224,225,-0.04753972154684597,-0.010316945975216714,-0.0288761401051702,0.021086236967896552,0.1141431758969697,PILAR,48.620689655172406,51.379310344827594,23.59154929577465,21.47887323943662,20.42253521126761,10.915492957746476,10.56338028169014,7.394366197183097,5.63380281690141,24.489795918367342,24.489795918367342,17.006802721088437,7.482993197278912,11.564625850340136,9.523809523809524,5.442176870748299,22.62773722627737,18.248175182481752,24.087591240875913,14.598540145985401,9.48905109489051,5.109489051094892,5.8394160583941614
225,226,-0.02271072775804637,-0.004836646003838434,-0.015618450949681228,-0.0014173523637246027,0.05877876067150517,FATIMA,51.42857142857142,48.57142857142857,21.865889212827987,24.198250728862966,20.40816326530612,15.451895043731778,9.329446064139944,5.830903790087462,2.915451895043732,22.891566265060238,22.891566265060238,21.084337349397593,18.67469879518072,9.036144578313252,3.6144578313253017,1.8072289156626504,20.903954802259886,25.423728813559322,19.774011299435028,12.429378531073446,9.604519774011301,7.909604519774012,3.954802259887006
226,227,0.0002643404705260366,-0.01634379366338129,-0.03760432007854686,-0.01634379366338129,0.09713379404101052,FATIMA,54.0,46.0,20.11661807580175,25.94752186588921,16.909620991253647,14.868804664723035,11.370262390670554,6.41399416909621,4.373177842565598,22.78481012658228,25.94936708860759,18.9873417721519,10.759493670886075,10.126582278481012,6.962025316455697,4.4303797468354436,17.83783783783784,25.94594594594595,15.135135135135135,18.37837837837838,12.432432432432432,5.9459459459459465,4.3243243243243255
227,228,-0.002731487986511169,-0.013502880427146272,-0.08867219333989035,0.007907826331319378,0.12945623155824093,FATIMA,52.0,48.0,23.00884955752212,17.994100294985248,23.59882005899705,13.86430678466077,8.55457227138643,7.374631268436577,5.604719764011799,20.253164556962027,22.15189873417721,24.68354430379747,12.658227848101266,8.227848101265822,8.227848101265822,3.79746835443038,25.41436464088398,14.3646408839779,22.651933701657462,14.917127071823206,8.839779005524859,6.629834254143647,7.18232044198895
228,229,0.012627702542171548,0.004181515799477309,-0.019565217391304346,-0.018294131622713233,0.03908291755761456,FATIMA,48.28571428571429,51.714285714285715,25.368731563421825,21.238938053097343,16.224188790560472,14.15929203539823,10.914454277286136,9.43952802359882,2.6548672566371683,25.0,21.51162790697675,21.51162790697675,12.790697674418604,7.558139534883719,9.883720930232558,1.7441860465116281,25.748502994011968,20.95808383233533,10.778443113772457,15.568862275449105,14.371257485029941,8.982035928143713,3.5928143712574854
229,230,0.002709441489361697,-0.008471852836879432,-0.012937721631205656,-0.022473404255319147,0.06695478723404252,FATIMA,56.00000000000001,44.0,19.941348973607038,18.768328445747798,18.475073313782996,19.941348973607038,14.07624633431085,5.278592375366569,3.5190615835777126,19.594594594594593,20.94594594594595,15.54054054054054,24.324324324324326,13.513513513513516,3.3783783783783785,2.702702702702702,20.207253886010363,17.098445595854926,20.72538860103627,16.580310880829018,14.507772020725387,6.735751295336788,4.1450777202072535
230,231,-0.05610092647348708,0.012852355608121428,-0.0011038833037650408,-0.0036664695446481377,0.07423615217819829,FATIMA,52.28571428571429,47.714285714285715,25.294117647058826,21.764705882352942,17.352941176470587,18.235294117647054,10.0,4.705882352941177,2.647058823529412,30.817610062893078,17.610062893081764,20.12578616352201,18.238993710691823,6.918238993710692,3.7735849056603774,2.515723270440252,20.441988950276247,25.41436464088398,14.917127071823206,18.232044198895032,12.70718232044199,5.524861878453039,2.7624309392265194
