,mesa,CONSENSO FEDERAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE TODOS,FRENTE NOS,JUNTOS POR EL CAMBIO,CONSENSO FEDERAL cant,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD cant,FRENTE DE TODOS cant,FRENTE NOS cant,JUNTOS POR EL CAMBIO cant,localidad,school,pmale,pfemale,18-25,25-35,35-45,45-55,55-65,65-75,>75,18-25_m,25-35_m,35-45_m,45-55_m,55-65_m,65-75_m,>75_m,18-25_f,25-35_f,35-45_f,45-55_f,55-65_f,65-75_f,>75_f
424,425,0.043478260869565216,0.014492753623188406,0.5797101449275363,0.03260869565217391,0.32971014492753625,12,4,160,9,91,LAGOMARSINO,ESCUELA EP N°47/ES N°37,50.28571428571429,49.714285714285715,23.952095808383238,29.041916167664677,14.371257485029941,17.66467065868264,6.886227544910179,5.9880239520958085,2.0958083832335332,24.074074074074073,25.925925925925927,16.049382716049386,17.901234567901234,5.5555555555555545,7.4074074074074066,3.08641975308642,23.837209302325586,31.976744186046513,12.790697674418604,17.441860465116278,8.13953488372093,4.651162790697675,1.162790697674419
425,426,0.02142857142857143,0.007142857142857143,0.4928571428571429,0.04285714285714286,0.4357142857142857,6,2,138,12,122,LAGOMARSINO,ESCUELA EP N°47/ES N°37,50.85714285714285,49.14285714285714,20.46783625730994,23.976608187134506,18.421052631578945,18.128654970760234,8.47953216374269,7.309941520467835,3.2163742690058483,18.67469879518072,24.69879518072289,19.27710843373494,20.48192771084337,7.2289156626506035,7.2289156626506035,2.409638554216868,22.15909090909091,23.295454545454547,17.613636363636363,15.909090909090908,9.659090909090908,7.386363636363638,3.977272727272727
426,427,0.03508771929824561,0.031578947368421054,0.5719298245614035,0.031578947368421054,0.3298245614035088,10,9,163,9,94,LAGOMARSINO,ESCUELA EP N°47/ES N°37,48.57142857142857,51.42857142857142,21.282798833819246,24.489795918367342,19.24198250728863,14.868804664723035,11.078717201166182,6.705539358600582,2.332361516034985,20.809248554913296,23.121387283236995,22.543352601156073,19.07514450867052,10.982658959537574,2.312138728323699,1.1560693641618496,21.764705882352942,25.882352941176478,15.882352941176471,10.588235294117649,11.176470588235297,11.176470588235297,3.5294117647058822
427,428,0.02857142857142857,0.025,0.5285714285714286,0.04642857142857143,0.37142857142857144,8,7,148,13,104,LAGOMARSINO,ESCUELA EP N°47/ES N°37,46.57142857142857,53.42857142857142,22.619047619047624,26.190476190476193,23.511904761904763,13.392857142857142,5.059523809523808,6.25,2.976190476190476,18.497109826589593,24.855491329479772,27.167630057803464,15.028901734104045,4.0462427745664735,6.9364161849710975,3.4682080924855487,26.993865030674854,27.607361963190183,19.6319018404908,11.65644171779141,6.1349693251533735,5.521472392638037,2.4539877300613497
428,429,0.03942652329749104,0.021505376344086023,0.5770609318996416,0.014336917562724014,0.34767025089605735,11,6,161,4,97,LAGOMARSINO,ESCUELA EP N°47/ES N°37,51.42857142857142,48.57142857142857,26.253687315634213,25.66371681415929,17.994100294985248,14.454277286135696,10.324483775811212,3.834808259587021,1.4749262536873156,26.993865030674854,23.31288343558282,19.018404907975462,16.56441717791411,9.202453987730062,2.4539877300613497,2.4539877300613497,25.568181818181817,27.84090909090909,17.045454545454547,12.5,11.363636363636365,5.113636363636363,0.5681818181818182
429,430,0.04363636363636364,0.04,0.5527272727272727,0.02181818181818182,0.3418181818181818,12,11,152,6,94,LAGOMARSINO,ESCUELA EP N°47/ES N°37,51.14285714285714,48.85714285714285,24.852071005917157,24.556213017751478,14.497041420118347,17.75147928994083,10.059171597633137,5.9171597633136095,2.366863905325444,21.73913043478261,24.22360248447205,16.149068322981368,18.01242236024845,11.180124223602483,6.211180124223603,2.4844720496894412,27.683615819209038,24.858757062146893,12.994350282485875,17.51412429378531,9.039548022598868,5.649717514124294,2.2598870056497176
430,431,0.03202846975088968,0.014234875444839857,0.5765124555160143,0.060498220640569395,0.3167259786476868,9,4,162,17,89,LAGOMARSINO,ESCUELA EP N°47/ES N°37,49.714285714285715,50.28571428571429,19.354838709677423,25.21994134897361,21.407624633431087,16.42228739002932,9.384164222873899,6.451612903225807,1.7595307917888563,21.556886227544908,22.15568862275449,19.760479041916167,17.964071856287426,8.982035928143713,7.185628742514971,2.395209580838324,17.24137931034483,28.160919540229887,22.988505747126432,14.942528735632186,9.770114942528737,5.747126436781608,1.1494252873563218
431,432,0.040892193308550186,0.02973977695167286,0.6356877323420075,0.011152416356877323,0.2825278810408922,11,8,171,3,76,DEL VISO,COLEGIO INMACULADA CONCEPCION,54.85714285714286,45.14285714285714,20.48192771084337,25.0,19.578313253012052,15.36144578313253,11.74698795180723,4.518072289156627,3.313253012048193,21.232876712328764,21.917808219178077,23.28767123287671,14.383561643835616,10.958904109589039,4.794520547945205,3.4246575342465757,19.892473118279568,27.41935483870968,16.666666666666664,16.129032258064516,12.365591397849462,4.301075268817205,3.2258064516129035
432,433,0.03225806451612903,0.021505376344086023,0.5340501792114696,0.03225806451612903,0.37992831541218636,9,6,149,9,106,DEL VISO,COLEGIO INMACULADA CONCEPCION,50.85714285714285,49.14285714285714,23.235294117647058,25.0,20.0,17.352941176470587,8.823529411764708,4.411764705882354,1.1764705882352942,23.49397590361446,25.30120481927711,21.084337349397593,13.855421686746988,8.433734939759036,6.024096385542169,1.8072289156626504,22.988505747126432,24.71264367816092,18.96551724137931,20.689655172413797,9.195402298850574,2.8735632183908044,0.5747126436781609
433,434,0.035842293906810034,0.021505376344086023,0.5627240143369175,0.03942652329749104,0.34050179211469533,10,6,157,11,95,DEL VISO,COLEGIO INMACULADA CONCEPCION,52.0,48.0,21.994134897360702,20.527859237536656,25.51319648093841,16.715542521994134,8.797653958944284,4.98533724340176,1.4662756598240467,21.383647798742142,22.641509433962263,22.641509433962263,15.094339622641508,8.805031446540882,8.176100628930818,1.257861635220126,22.52747252747253,18.68131868131868,28.021978021978025,18.131868131868128,8.791208791208794,2.1978021978021984,1.6483516483516485
