,mesa,CONSENSO FEDERAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE TODOS,FRENTE NOS,JUNTOS POR EL CAMBIO,localidad,school,pmale,pfemale,18-25,25-35,35-45,45-55,55-65,65-75,>75,18-25_m,25-35_m,35-45_m,45-55_m,55-65_m,65-75_m,>75_m,18-25_f,25-35_f,35-45_f,45-55_f,55-65_f,65-75_f,>75_f
160,161,0.07326578332034293,0.010132501948558068,0.42634450506625093,0.011691348402182385,0.4590802805923617,VILLA ASTOLFI,ESCUELA COMUNITARIA VILLA ASTOLFI,52.0,48.0,24.340175953079182,19.06158357771261,17.59530791788857,17.888563049853374,10.850439882697945,6.744868035190616,3.5190615835777126,20.35928143712575,23.353293413173645,18.562874251497004,20.35928143712575,7.7844311377245505,7.185628742514971,2.395209580838324,28.160919540229887,14.942528735632186,16.666666666666664,15.517241379310345,13.79310344827586,6.321839080459771,4.597701149425287
161,162,0.04904214559386973,0.04367816091954022,0.5624521072796934,0.02528735632183908,0.30727969348659,VILLA ASTOLFI,ESCUELA COMUNITARIA VILLA ASTOLFI,54.0,46.0,27.456647398843927,22.832369942196532,17.341040462427745,14.739884393063585,10.115606936416183,6.069364161849711,1.4450867052023122,28.57142857142857,20.496894409937887,15.527950310559005,16.149068322981368,13.043478260869565,5.590062111801243,0.6211180124223602,26.486486486486488,24.86486486486487,18.918918918918923,13.513513513513516,7.5675675675675675,6.486486486486488,2.1621621621621623
162,163,0.04404945904173106,0.0347758887171561,0.5309119010819165,0.019319938176197832,0.34544049459041737,VILLA ASTOLFI,ESCUELA COMUNITARIA VILLA ASTOLFI,47.714285714285715,52.28571428571429,23.976608187134506,21.345029239766077,19.298245614035086,13.450292397660814,13.742690058479534,5.263157894736842,2.9239766081871337,24.431818181818183,19.88636363636364,17.045454545454547,14.204545454545455,13.636363636363635,7.954545454545454,2.8409090909090913,23.49397590361446,22.891566265060238,21.686746987951807,12.650602409638553,13.855421686746988,2.409638554216868,3.0120481927710845
163,164,0.0424597364568082,0.034407027818448024,0.3857979502196193,0.027086383601756955,0.49267935578330896,VILLA ASTOLFI,ESCUELA COMUNITARIA VILLA ASTOLFI,51.42857142857142,48.57142857142857,26.16279069767442,20.05813953488372,18.313953488372096,16.569767441860467,9.593023255813952,5.813953488372092,3.4883720930232562,24.852071005917157,22.485207100591715,21.301775147929,15.976331360946743,5.9171597633136095,5.325443786982249,4.142011834319527,27.42857142857143,17.714285714285708,15.428571428571427,17.142857142857142,13.142857142857142,6.285714285714287,2.8571428571428568
164,165,0.045454545454545456,0.08264462809917356,0.34710743801652894,0.004132231404958678,0.47107438016528924,VILLA ASTOLFI,ESCUELA COMUNITARIA VILLA ASTOLFI,57.57575757575758,42.42424242424242,24.24242424242424,18.181818181818183,13.636363636363635,24.24242424242424,10.606060606060606,4.545454545454546,4.545454545454546,28.57142857142857,10.714285714285714,17.857142857142858,21.428571428571427,10.714285714285714,7.142857142857142,3.571428571428571,21.052631578947366,23.684210526315788,10.526315789473683,26.315789473684212,10.526315789473683,2.631578947368421,5.263157894736842
165,166,0.07742461287693561,0.03341483292583537,0.5753871230643847,0.008149959250203748,0.2852485737571312,PILAR,INST. ALMAFUERTE/N.S.DE FATIMA,51.14285714285714,48.85714285714285,23.78223495702006,25.214899713467048,23.20916905444126,10.31518624641834,10.028653295128938,4.584527220630372,2.8653295128939833,21.176470588235293,28.235294117647058,24.117647058823533,9.411764705882351,10.588235294117649,2.9411764705882346,3.5294117647058822,26.256983240223466,22.3463687150838,22.3463687150838,11.1731843575419,9.497206703910614,6.145251396648043,2.23463687150838
166,167,0.04534005037783375,0.026028547439126783,0.5717884130982367,0.017632241813602012,0.3249370277078086,PILAR,INST. ALMAFUERTE/N.S.DE FATIMA,53.42857142857142,46.57142857142857,24.855491329479772,21.098265895953762,19.653179190751445,12.427745664739886,12.716763005780347,3.757225433526012,5.491329479768787,21.875,18.75,21.25,13.125,13.125,5.625,6.25,27.41935483870968,23.11827956989247,18.27956989247312,11.827956989247312,12.365591397849462,2.1505376344086025,4.838709677419356
167,168,0.06683587140439932,0.0338409475465313,0.5279187817258884,0.014382402707275803,0.3434856175972927,PILAR,INST. ALMAFUERTE/N.S.DE FATIMA,55.714285714285715,44.28571428571429,23.18840579710145,22.318840579710145,20.28985507246377,15.072463768115945,10.434782608695652,5.217391304347826,3.4782608695652173,20.91503267973856,25.490196078431374,17.647058823529417,13.071895424836605,13.071895424836605,5.2287581699346415,4.575163398692809,25.0,19.791666666666664,22.395833333333336,16.666666666666664,8.333333333333332,5.208333333333334,2.604166666666667
168,169,0.05052974735126324,0.020374898125509373,0.5876120619396903,0.004074979625101874,0.32273838630806845,PILAR,INST. ALMAFUERTE/N.S.DE FATIMA,46.28571428571429,53.714285714285715,24.495677233429394,20.461095100864554,20.172910662824208,14.121037463976945,11.52737752161383,5.187319884726224,4.034582132564841,25.806451612903228,18.27956989247312,21.505376344086017,13.978494623655912,9.13978494623656,5.913978494623656,5.376344086021504,22.981366459627328,22.981366459627328,18.633540372670808,14.285714285714285,14.285714285714285,4.3478260869565215,2.4844720496894412
169,170,0.05817610062893082,0.02908805031446541,0.5589622641509434,0.02279874213836478,0.3199685534591195,PILAR,INST. ALMAFUERTE/N.S.DE FATIMA,47.714285714285715,52.28571428571429,23.615160349854232,23.9067055393586,17.49271137026239,13.411078717201164,11.370262390670554,4.956268221574344,5.247813411078718,20.786516853932586,25.280898876404496,19.662921348314608,11.235955056179774,10.112359550561797,6.741573033707866,6.179775280898876,26.66666666666667,22.424242424242426,15.151515151515152,15.757575757575754,12.727272727272727,3.0303030303030303,4.242424242424243
