,mesa,1PAIS,CAMBIEMOS BUENOS AIRES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,SUMEMOS PILAR,UNIDAD CIUDADANA,1PAIS cant,CAMBIEMOS BUENOS AIRES cant,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES cant,FRENTE JUSTICIALISTA cant,SUMEMOS PILAR cant,UNIDAD CIUDADANA cant,localidad,school,18-25,25-35,35-45,45-55,55-65,65-75,>75
401,406,0.12781954887218044,0.3684210526315789,0.05263157894736842,0.03383458646616541,0.018796992481203006,0.39849624060150374,34,98,14,9,5,106,Del Viso,ESCUELA EP N°9/ES N°32,25.22255192878339,25.22255192878339,18.39762611275964,13.353115727002967,9.495548961424332,5.9347181008902075,2.373887240356084
402,407,0.09126984126984126,0.43253968253968256,0.03571428571428571,0.04365079365079365,0.01984126984126984,0.376984126984127,23,109,9,11,5,95,Del Viso,COLEGIO DEL MANANTIAL,22.740524781341108,26.822157434402328,17.784256559766764,13.994169096209912,10.20408163265306,4.956268221574344,3.498542274052478
403,408,0.138996138996139,0.41312741312741313,0.05791505791505792,0.03474903474903475,0.023166023166023165,0.33204633204633205,36,107,15,9,6,86,Del Viso,COLEGIO DEL MANANTIAL,24.48377581120944,19.76401179941003,20.648967551622423,15.634218289085547,10.914454277286136,6.784660766961652,1.7699115044247788
404,409,0.16593886462882096,0.48034934497816595,0.03056768558951965,0.039301310043668124,0.004366812227074236,0.2794759825327511,38,110,7,9,1,64,Del Viso,COLEGIO DEL MANANTIAL,28.862973760932952,21.282798833819246,18.658892128279888,13.702623906705536,8.16326530612245,4.956268221574344,4.373177842565598
405,410,0.1634980988593156,0.4068441064638783,0.026615969581749048,0.053231939163498096,0.0076045627376425855,0.34220532319391633,43,107,7,14,2,90,Del Viso,COLEGIO DEL MANANTIAL,23.28358208955224,23.58208955223881,20.29850746268657,16.417910447761194,9.55223880597015,5.970149253731343,0.8955223880597015
406,411,0.10080645161290322,0.4314516129032258,0.020161290322580645,0.07258064516129033,0.03225806451612903,0.34274193548387094,25,107,5,18,8,85,Del Viso,COLEGIO DEL MANANTIAL,26.900584795321635,25.146198830409354,18.128654970760234,14.327485380116956,9.941520467836256,3.5087719298245608,2.046783625730994
407,412,0.12355212355212356,0.3590733590733591,0.05405405405405406,0.04247104247104247,0.003861003861003861,0.416988416988417,32,93,14,11,1,108,Del Viso,INSTITUTO FEDERICO DICKENS,28.27380952380952,16.071428571428573,19.642857142857142,13.98809523809524,12.202380952380953,7.440476190476191,2.380952380952381
408,413,0.0708955223880597,0.47388059701492535,0.048507462686567165,0.029850746268656716,0.011194029850746268,0.3656716417910448,19,127,13,8,3,98,Del Viso,INSTITUTO FEDERICO DICKENS,23.615160349854232,21.57434402332361,22.157434402332363,13.411078717201164,9.037900874635568,6.705539358600582,3.498542274052478
409,414,0.0933852140077821,0.40077821011673154,0.038910505836575876,0.054474708171206226,0.023346303501945526,0.38910505836575876,24,103,10,14,6,100,Del Viso,INSTITUTO FEDERICO DICKENS,21.238938053097343,25.66371681415929,17.404129793510325,15.044247787610619,11.209439528023598,6.1946902654867255,3.2448377581120944
410,415,0.10256410256410256,0.5018315018315018,0.047619047619047616,0.047619047619047616,0.02564102564102564,0.27472527472527475,28,137,13,13,7,75,Del Viso,INSTITUTO FEDERICO DICKENS,24.550898203592812,19.760479041916167,21.25748502994012,15.568862275449105,10.778443113772457,6.2874251497005975,1.7964071856287425
